season,team,conference,offense.plays,offense.drives,offense.ppa,offense.totalPPA,offense.successRate,offense.explosiveness,offense.powerSuccess,offense.stuffRate,offense.lineYards,offense.lineYardsTotal,offense.secondLevelYards,offense.secondLevelYardsTotal,offense.openFieldYards,offense.openFieldYardsTotal,offense.totalOpportunies,offense.pointsPerOpportunity,offense.fieldPosition.averageStart,offense.fieldPosition.averagePredictedPoints,offense.havoc.total,offense.havoc.frontSeven,offense.havoc.db,offense.standardDowns.rate,offense.standardDowns.ppa,offense.standardDowns.successRate,offense.standardDowns.explosiveness,offense.passingDowns.rate,offense.passingDowns.ppa,offense.passingDowns.successRate,offense.passingDowns.explosiveness,offense.rushingPlays.rate,offense.rushingPlays.ppa,offense.rushingPlays.totalPPA,offense.rushingPlays.successRate,offense.rushingPlays.explosiveness,offense.passingPlays.rate,offense.passingPlays.ppa,offense.passingPlays.totalPPA,offense.passingPlays.successRate,offense.passingPlays.explosiveness,defense.plays,defense.drives,defense.ppa,defense.totalPPA,defense.successRate,defense.explosiveness,defense.powerSuccess,defense.stuffRate,defense.lineYards,defense.lineYardsTotal,defense.secondLevelYards,defense.secondLevelYardsTotal,defense.openFieldYards,defense.openFieldYardsTotal,defense.totalOpportunies,defense.pointsPerOpportunity,defense.fieldPosition.averageStart,defense.fieldPosition.averagePredictedPoints,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,defense.standardDowns.rate,defense.standardDowns.ppa,defense.standardDowns.successRate,defense.standardDowns.explosiveness,defense.passingDowns.rate,defense.passingDowns.ppa,defense.passingDowns.totalPPA,defense.passingDowns.successRate,defense.passingDowns.explosiveness,defense.rushingPlays.rate,defense.rushingPlays.ppa,defense.rushingPlays.totalPPA,defense.rushingPlays.successRate,defense.rushingPlays.explosiveness,defense.passingPlays.rate,defense.passingPlays.ppa,defense.passingPlays.totalPPA,defense.passingPlays.successRate,defense.passingPlays.explosiveness
2021,Air Force,Mountain West,73,9,0.37451144253540536,27.339335305084592,0.547945205479452,1.0099360562079607,0.875,0.1044776119402985,3.6791044776119404,247,1.0746268656716418,72.0,1.0447761194029852,70.0,8,4.375,66.0,1.695,0.0684931506849315,0.0684931506849315,0.0,0.821917808219178,0.2954066247875779,0.5833333333333334,0.8307772697648332,0.1780821917808219,0.7396106013715321,0.38461538461538464,2.2640475613098525,0.9178082191780822,0.3718668471778012,24.91507876091268,0.5522388059701493,0.9662581686609807,0.0821917808219178,0.4040427573619848,2.4242565441719086,0.5,1.548630002620713,48,6,0.2353138353453013,11.295064096574462,0.375,1.6924605084716526,1.0,0.16666666666666666,2.4555555555555557,44,0.5555555555555556,10.0,0.7777777777777778,14.0,4,3.5,79.7,-0.716,0.2916666666666667,0.1875,0.10416666666666667,0.6666666666666666,0.23980546370528644,0.4375,1.493024439606718,0.3333333333333333,0.226330578625331,9.573442242909135,0.25,2.3904867494989244,0.375,0.17979790424208106,3.2363622763574593,0.3333333333333333,1.532396695875197,0.5625,0.35457193492256056,9.573442242909135,0.4444444444444444,1.7724924147698806
2021,Akron,Mid-American,73,11,0.1871715510338093,13.66352322546808,0.3287671232876712,1.4097444459943154,0.6666666666666666,0.15625,2.546875,82,0.53125,17.0,0.09375,3.0,2,5.0,75.6,0.914,0.2328767123287671,0.2191780821917808,0.0136986301369863,0.589041095890411,0.12332618751513966,0.4186046511627907,1.0999584117489758,0.410958904109589,0.27868323874390244,0.2,2.3391025487303345,0.4383561643835616,0.07244434816905036,2.3182191414096116,0.28125,1.2644216646975337,0.547945205479452,0.32596229537645,13.038491815058,0.375,1.4969381147723844,62,11,0.7810934620469357,48.427794646910016,0.7096774193548387,1.247167272345898,1.0,0.02857142857142857,4.642857142857143,163,2.2857142857142856,80.0,4.085714285714285,143.0,9,6.555555555555555,66.7,-1.748,0.03225806451612903,0.03225806451612903,0.0,0.8709677419354839,0.7405434315598366,0.7407407407407407,1.1615818084973315,0.12903225806451613,1.0548061678348553,20.021081569807148,0.5,2.1030219108315618,0.5645161290322581,0.8116203736315106,28.40671307710287,0.6857142857142857,1.354850895351417,0.43548387096774194,0.741521539622487,20.021081569807148,0.7407407407407407,1.117946924739275
2021,Alabama,SEC,76,12,0.3445710675917783,26.18740113697515,0.5,1.3573789107386853,0.4,0.19444444444444445,2.9166666666666665,105,1.277777777777778,46.0,1.0555555555555556,38.0,8,4.625,69.5,1.482,0.17105263157894737,0.15789473684210525,0.013157894736842105,0.75,0.20120918493598539,0.5263157894736842,0.9855292433719604,0.25,0.7746567155591569,0.42105263157894735,2.7518151633639034,0.47368421052631576,0.020714687777969254,0.7457287600068931,0.4722222222222222,0.8462162624325653,0.5263157894736842,0.6360418094242064,25.441672376968256,0.525,1.7711772450817347,63,13,0.005617324633819418,0.3538914519306233,0.36507936507936506,1.0441242206517853,0.75,0.25925925925925924,2.751851851851852,74,0.8148148148148148,22.0,0.5555555555555556,15.0,4,2.5,68.8,-1.405,0.2222222222222222,0.12698412698412698,0.09523809523809523,0.6666666666666666,-0.16601748842136135,0.42857142857142855,0.7049142185277559,0.3333333333333333,0.34888695074418097,3.557431890773875,0.23809523809523808,2.2652802282982916,0.42857142857142855,-0.1186496458830834,-3.203540438843252,0.4074074074074074,0.6195813216990078,0.5714285714285714,0.09881755252149653,3.557431890773875,0.3333333333333333,1.4332885446918315
2021,App State,Sun Belt,63,12,0.3539716693277674,22.300215167649345,0.5396825396825397,1.3270449359421648,0.5,0.17142857142857143,3.482857142857143,122,1.657142857142857,58.0,2.5142857142857142,88.0,8,4.25,69.3,1.417,0.1746031746031746,0.14285714285714285,0.031746031746031744,0.7142857142857143,0.5735065523592,0.6222222222222222,1.2578081116406472,0.2857142857142857,-0.1948655382508141,0.3333333333333333,1.650150116015913,0.5555555555555556,0.25960793038659585,9.086277563530855,0.5142857142857142,1.0863887243937331,0.4444444444444444,0.4719263430042318,13.213937604118492,0.5714285714285714,1.5977831739341504,65,11,0.1951442757555235,12.684377924109029,0.35384615384615387,1.6980914700805239,0.0,0.25,2.795,56,1.1,22.0,1.6,32.0,5,2.6,78.7,-0.722,0.16923076923076924,0.09230769230769231,0.07692307692307693,0.5846153846153846,0.24235602131759906,0.39473684210526316,1.5453209901186196,0.4153846153846154,0.1286981153348246,9.045377636602373,0.2962962962962963,1.9845361200090943,0.3076923076923077,0.18195001437533276,3.639000287506655,0.25,1.8030062835664415,0.6923076923076923,0.20100839192449718,9.045377636602373,0.4,1.6689484663344356
2021,Arizona,Big 12,84,11,0.10621662867338379,8.922196808564237,0.5119047619047619,0.8766608947481482,0.875,0.0,3.5161290322580645,109,0.7419354838709677,23.0,0.06451612903225806,2.0,7,1.8571428571428572,74.9,1.066,0.13095238095238096,0.08333333333333333,0.047619047619047616,0.8214285714285714,0.20524673098684018,0.5942028985507246,0.8516047729311751,0.17857142857142858,-0.3493218419685157,0.13333333333333333,1.390311391996097,0.36904761904761907,0.2195290492037677,6.805400525316799,0.5483870967741935,0.6606576364662158,0.6309523809523809,0.039939552514102625,2.116796283247439,0.49056603773584906,1.0178937943940272,62,12,0.24924733318644346,15.453334657559495,0.41935483870967744,1.3841549828911897,1.0,0.25806451612903225,2.706451612903226,84,1.3225806451612903,41.0,1.7741935483870968,55.0,3,5.666666666666667,77.3,-0.915,0.22580645161290322,0.16129032258064516,0.06451612903225806,0.6774193548387096,0.11360089458221338,0.47619047619047616,0.9356241316233733,0.3225806451612903,0.5341048542553266,14.391913747671657,0.3,2.879257820450577,0.5,0.09124293785191644,2.828531073409409,0.45161290322580644,0.9432861073101114,0.4838709677419355,0.4797304582557219,14.391913747671657,0.4,1.8985020044024474
2021,Arizona State,Big 12,55,11,0.618509954411648,34.01804749264064,0.6363636363636364,1.0885502575175232,1.0,0.05555555555555555,4.461111111111111,161,1.5555555555555556,56.0,2.25,81.0,8,5.25,64.0,1.874,0.18181818181818182,0.16363636363636364,0.01818181818181818,0.8181818181818182,0.6792100619120297,0.7333333333333333,1.0749056871145315,0.18181818181818182,0.34535947065993017,0.2,1.313685669166885,0.6545454545454545,0.6352807092826654,22.870105534175956,0.75,0.9531788889811225,0.34545454545454546,0.5867337872876148,11.147941958464681,0.42105263157894735,1.5454286263278754,55,11,-0.08260560077773688,-4.543308042775529,0.2909090909090909,0.9648240959724858,1.0,0.13636363636363635,3.159090909090909,70,0.6363636363636364,14.0,0.5,11.0,6,2.3333333333333335,70.3,-1.439,0.21818181818181817,0.12727272727272726,0.09090909090909091,0.6727272727272727,-0.006260197349269532,0.3783783783783784,0.8968490378891394,0.32727272727272727,-0.2395378189362531,1.4863225395106985,0.1111111111111111,1.4406495025559105,0.4,0.10305648391218125,2.2672426460679875,0.3181818181818182,0.9890576168801166,0.5454545454545454,0.04954408465035662,1.4863225395106985,0.3,0.9459758019332173
2021,Arkansas,SEC,65,15,0.2395342679455557,15.56972741646112,0.47692307692307695,1.058980836678344,0.5,0.14634146341463414,3.6414634146341465,149,1.4390243902439024,59.0,1.6097560975609757,66.0,6,0.0,69.4,1.409,0.1076923076923077,0.07692307692307693,0.03076923076923077,0.6923076923076923,0.13146700090471394,0.4888888888888889,1.0574022231176077,0.3076923076923077,0.4826856187874497,0.45,1.0628396698268103,0.6307692307692307,0.42860326524641296,17.572733875102934,0.5853658536585366,1.038048892239361,0.3384615384615385,0.0266336120313575,0.585939464689865,0.3181818181818182,1.1307475033262857,75,15,-0.09134093190550048,-6.850569892912537,0.30666666666666664,1.0976629945681595,0.6666666666666666,0.2631578947368421,1.9131578947368422,73,0.23684210526315788,9.0,0.0,,4,0.0,65.6,-1.735,0.18,0.1,0.08,0.6,-0.12828468119690795,0.4222222222222222,0.8274157487338665,0.4,-0.03592530796838932,10.064247498195503,0.13333333333333333,2.3813374122810522,0.5066666666666667,-0.3935560500157052,-14.955129900596798,0.23684210526315788,0.31268877522235694,0.4666666666666667,0.2875499285198715,10.064247498195503,0.4,1.6022892784333185
2021,Arkansas State,Sun Belt,77,15,0.23286605952343362,17.93068658330439,0.42857142857142855,1.1821545651794376,0.6666666666666666,0.19444444444444445,2.8333333333333335,102,0.75,27.0,2.111111111111111,76.0,8,5.125,68.9,1.537,0.14285714285714285,0.11688311688311688,0.025974025974025976,0.7402597402597403,0.1989515613175843,0.45614035087719296,1.0943490202067019,0.2597402597402597,0.32952237941010426,0.35,1.5082894465067416,0.4675324675324675,0.03573638316473521,1.2865097939304675,0.4444444444444444,0.5572255512505458,0.5324675324675324,0.40595553144814445,16.644176789373923,0.4146341463414634,1.7703230488772181,62,15,0.0729160571954517,4.520795546118006,0.3225806451612903,1.5055750673506874,1.0,0.2631578947368421,1.9894736842105263,38,0.5789473684210527,11.0,0.3157894736842105,6.0,4,3.5,76.2,-1.016,0.1935483870967742,0.0967741935483871,0.0967741935483871,0.6290322580645161,0.12294072656521701,0.41025641025641024,1.3086778446828358,0.3709677419354839,-0.011908382170672076,6.367327091780345,0.17391304347826086,2.2931639580220944,0.3064516129032258,-0.0971858708243336,-1.8465315456623381,0.3157894736842105,0.44947417037902365,0.6935483870967742,0.14807737422744988,6.367327091780345,0.32558139534883723,1.9581897374814003
2021,Army,American Athletic,53,10,0.3899212999411406,20.665828896880452,0.5094339622641509,1.1620248204040464,0.8571428571428571,0.12244897959183673,3.1918367346938776,156,0.6122448979591837,30.0,0.10204081632653061,5.0,7,6.428571428571429,60.6,2.141,0.11320754716981132,0.11320754716981132,0.0,0.8490566037735849,0.2941852051150082,0.5333333333333333,0.94652474111133,0.1509433962264151,0.9284368333381354,0.375,2.886025454745778,0.9245283018867925,0.24585938443219804,12.047109837177704,0.4897959183673469,0.9277919919214149,0.07547169811320754,2.1546797649256866,8.618719059702746,0.75,3.0358874482650986,29,6,0.16569376800879054,4.805119272254926,0.4482758620689655,0.9783078626998033,0.5,0.13333333333333333,2.2,33,1.0,15.0,0.4,6.0,4,2.5,77.6,-0.8,0.3448275862068966,0.2413793103448276,0.10344827586206896,0.6896551724137931,0.28020830689074905,0.55,0.9276344200495683,0.3103448275862069,-0.08878298506222827,4.872834976441089,0.2222222222222222,1.2570117972760957,0.5172413793103449,0.003918472260785779,0.05877708391178669,0.4,1.05472262135467,0.4482758620689655,0.3748334597262376,4.872834976441089,0.5384615384615384,0.9128094981384889
2021,Auburn,SEC,62,11,0.7810934620469357,48.427794646910016,0.7096774193548387,1.247167272345898,1.0,0.02857142857142857,4.642857142857143,163,2.2857142857142856,80.0,4.085714285714285,143.0,9,6.555555555555555,66.7,1.748,0.03225806451612903,0.03225806451612903,0.0,0.8709677419354839,0.7405434315598366,0.7407407407407407,1.1615818084973315,0.12903225806451613,1.0548061678348553,0.5,2.1030219108315618,0.5645161290322581,0.8116203736315106,28.40671307710287,0.6857142857142857,1.354850895351417,0.43548387096774194,0.741521539622487,20.021081569807148,0.7407407407407407,1.117946924739275,73,11,0.1871715510338093,13.66352322546808,0.3287671232876712,1.4097444459943154,0.6666666666666666,0.15625,2.546875,82,0.53125,17.0,0.09375,3.0,2,5.0,75.6,-0.914,0.2328767123287671,0.2191780821917808,0.0136986301369863,0.589041095890411,0.12332618751513966,0.4186046511627907,1.0999584117489758,0.410958904109589,0.27868323874390244,13.038491815058,0.2,2.3391025487303345,0.4383561643835616,0.07244434816905036,2.3182191414096116,0.28125,1.2644216646975337,0.547945205479452,0.32596229537645,13.038491815058,0.375,1.4969381147723844
