week,season,game_id,date,status,away_team,away_team_abbr,away_score,home_team,home_team_abbr,home_score,point_differential,winner,away_totalPointsPerGame,away_yardsPerGame,away_passingYardsPerGame,away_rushingYardsPerGame,away_totalPointsPerGameAllowed,away_yardsPerGameAllowed,away_passingYardsPerGameAllowed,away_rushingYardsPerGameAllowed,home_totalPointsPerGame,home_yardsPerGame,home_passingYardsPerGame,home_rushingYardsPerGame,home_totalPointsPerGameAllowed,home_yardsPerGameAllowed,home_passingYardsPerGameAllowed,home_rushingYardsPerGameAllowed,attendance,venue,venue_city,venue_state
14,2026,401873109,2026-12-11T01:15Z,Scheduled,Minnesota Vikings,MIN,0,New England Patriots,NE,0,0,TIE,24.0,260.0,147.0,113.0,12.5,389.5,289.5,100.0,15.0,315.5,193.0,122.5,8.0,287.5,193.5,94.0,,Gillette Stadium,Foxborough,MA
14,2026,401873110,2026-12-13T18:00Z,Scheduled,Atlanta Falcons,ATL,0,Cleveland Browns,CLE,0,0,TIE,8.0,282.5,144.0,138.5,27.0,317.0,254.0,63.0,16.5,287.0,221.5,65.5,26.5,345.0,213.5,131.5,,Huntington Bank Field,Cleveland,OH
14,2026,401873117,2026-12-13T18:00Z,Scheduled,Tennessee Titans,TEN,0,Detroit Lions,DET,0,0,TIE,15.0,256.5,161.5,95.0,23.5,360.0,239.5,120.5,31.0,382.0,266.5,115.5,35.5,476.0,329.0,147.0,,Ford Field,Detroit,MI
14,2026,401873111,2026-12-13T18:00Z,Scheduled,Chicago Bears,CHI,0,Miami Dolphins,MIA,0,0,TIE,31.0,443.0,230.5,212.5,23.0,374.0,252.0,122.0,13.0,296.5,208.5,88.0,31.0,336.0,223.5,112.5,,Hard Rock Stadium,Miami Gardens,FL
14,2026,401873112,2026-12-13T18:00Z,Scheduled,Denver Broncos,DEN,0,New York Jets,NYJ,0,0,TIE,15.0,292.0,209.5,82.5,22.0,344.0,186.5,157.5,20.0,340.5,231.0,109.5,15.0,208.0,142.5,65.5,,MetLife Stadium,East Rutherford,NJ
14,2026,401873114,2026-12-13T18:00Z,Scheduled,Indianapolis Colts,IND,0,Philadelphia Eagles,PHI,0,0,TIE,26.5,298.5,188.0,110.5,37.0,530.0,353.0,177.0,24.0,346.0,233.5,112.5,21.0,300.5,173.5,127.0,,Lincoln Financial Field,Philadelphia,PA
14,2026,401873113,2026-12-13T18:00Z,Scheduled,Houston Texans,HOU,0,Washington Commanders,WSH,0,0,TIE,18.5,405.5,313.5,92.0,28.0,356.0,270.5,85.5,21.0,342.5,185.5,157.0,30.5,342.0,241.0,101.0,,Northwest Stadium,Landover,MD
14,2026,401873115,2026-12-13T18:00Z,Scheduled,New Orleans Saints,NO,0,Carolina Panthers,CAR,0,0,TIE,27.0,409.0,331.0,78.0,24.0,357.0,220.5,136.5,35.5,420.5,324.0,96.5,31.0,431.0,207.0,224.0,,Bank of America Stadium,Charlotte,NC
14,2026,401873116,2026-12-13T18:00Z,Scheduled,Tampa Bay Buccaneers,TB,0,Baltimore Ravens,BAL,0,0,TIE,23.0,312.0,199.0,113.0,28.0,321.0,246.0,75.0,29.0,434.5,279.5,155.0,23.5,292.5,209.0,83.5,,M&T Bank Stadium,Baltimore,MD
14,2026,401873118,2026-12-13T21:05Z,Scheduled,Los Angeles Chargers,LAC,0,Las Vegas Raiders,LV,0,0,TIE,14.0,304.5,200.5,104.0,26.0,351.5,265.0,86.5,26.5,300.0,206.5,93.5,13.5,306.5,206.0,100.5,,Allegiant Stadium,Las Vegas,NV
14,2026,401873119,2026-12-13T21:25Z,Scheduled,Kansas City Chiefs,KC,0,Cincinnati Bengals,CIN,0,0,TIE,32.0,469.0,283.0,186.0,20.0,260.5,170.5,90.0,26.5,326.0,230.5,95.5,16.5,359.0,284.5,74.5,,Paycor Stadium,Cincinnati,OH
14,2026,401873120,2026-12-13T21:25Z,Scheduled,Los Angeles Rams,LAR,0,San Francisco 49ers,SF,0,0,TIE,17.5,390.0,247.5,142.5,16.5,281.0,168.0,113.0,31.0,380.5,246.0,134.5,10.0,294.5,182.5,112.0,,Levi's Stadium,Santa Clara,CA
14,2026,401873121,2026-12-13T21:25Z,Scheduled,New York Giants,NYG,0,Seattle Seahawks,SEA,0,0,TIE,17.0,289.0,180.5,108.5,24.0,367.0,251.0,116.0,22.0,347.0,217.5,129.5,8.5,226.0,136.5,89.5,,Lumen Field,Seattle,WA
14,2026,401873122,2026-12-14T01:20Z,Scheduled,Buffalo Bills,BUF,0,Green Bay Packers,GB,0,0,TIE,38.5,435.5,291.0,144.5,31.0,395.5,300.5,95.0,21.0,330.5,266.0,64.5,28.0,286.0,199.0,87.0,,Lambeau Field,Green Bay,WI
14,2026,401873123,2026-12-15T01:15Z,Scheduled,Pittsburgh Steelers,PIT,0,Jacksonville Jaguars,JAX,0,0,TIE,11.5,278.5,204.0,74.5,16.5,303.5,175.5,128.0,23.5,327.5,217.0,110.5,15.0,342.0,246.5,95.5,,EverBank Stadium,Jacksonville,FL
