season,seasonType,week,pollDate,pollType,teamId,team,conference,ranking,points,firstPlaceVotes
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,236,Purdue,Big Ten,1.0,1485,35
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,113,Houston,Big 12,2.0,1459,16
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,87,Florida,SEC,3.0,1382,8
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,314,UConn,Big East,4.0,1299,2
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,279,St. John's,Big East,5.0,1203,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,72,Duke,ACC,6.0,1123,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,170,Michigan,Big Ten,7.0,1084,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,18,BYU,Big 12,8.0,1078,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,135,Kentucky,SEC,9.0,1056,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,298,Texas Tech,Big 12,10.0,1015,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,150,Louisville,ACC,11.0,966,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,313,UCLA,Big Ten,12.0,741,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,11,Arizona,Big 12,13.0,715,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,12,Arkansas,SEC,14.0,695,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,5,Alabama,SEC,15.0,620,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,125,Iowa State,Big 12,16.0,616,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,118,Illinois,Big Ten,17.0,567,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,292,Tennessee,SEC,18.0,462,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,131,Kansas,Big 12,19.0,453,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,16,Auburn,SEC,20.0,424,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,102,Gonzaga,WCC,21.0,387,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,169,Michigan State,Big Ten,22.0,188,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,61,Creighton,Big East,23.0,158,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,355,Wisconsin,Big Ten,24.0,136,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,200,North Carolina,ACC,25.0,104,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,185,NC State,ACC,,101,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,223,Oregon,Big Ten,,98,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,257,San Diego State,Mountain West,,74,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,295,Texas,SEC,,35,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,216,Ohio State,Big Ten,,23,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,132,Kansas State,Big 12,,13,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,220,Ole Miss,SEC,,11,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,323,USC,Big Ten,,10,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,177,Missouri,SEC,,8,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,343,Washington,Big Ten,,7,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,336,Vanderbilt,SEC,,7,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,124,Iowa,Big Ten,,6,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,25,Boise State,Mountain West,,4,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,174,Mississippi State,SEC,,3,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,333,VCU,A-10,,2,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,253,Saint Mary's,WCC,,2,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,339,Virginia,ACC,,2,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,20,Baylor,Big 12,,1,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,217,Oklahoma,SEC,,1,0
2026,regular,1,2025-10-13T00:00:00.000Z,AP Top 25,121,Indiana,Big Ten,,1,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,236,Purdue,Big Ten,1.0,755,18
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,113,Houston,Big 12,2.0,749,12
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,87,Florida,SEC,3.0,704,1
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,314,UConn,Big East,4.0,647,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,72,Duke,ACC,5.0,623,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,279,St. John's,Big East,6.0,609,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,170,Michigan,Big Ten,7.0,569,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,18,BYU,Big 12,8.0,532,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,135,Kentucky,SEC,9.0,529,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,150,Louisville,ACC,10.0,456,0
