season,week,home_team,home_id,home_conference,home_points,home_pregame_elo,home_postgame_elo,away_team,away_id,away_conference,away_points,away_pregame_elo,away_postgame_elo,conference_game,margin
2019,1,Colgate,2142,Patriot,14,,,Villanova,222,CAA,34,,,0,-20
2019,1,Samford,2535,Southern,22,,,Youngstown State,2754,MVFC,45,,,0,-23
2019,1,Florida,57,SEC,24,1683.0,1688.0,Miami,2390,ACC,20,1611.0,1606.0,0,4
2019,1,Hawai'i,62,Mountain West,45,1281.0,1302.0,Arizona,12,Pac-12,38,1467.0,1446.0,0,7
2019,1,Morehead State,2413,Pioneer,44,,,Union College,2841,,7,,,0,37
2019,1,Delaware,48,CAA,31,,,Delaware State,2169,MEAC,13,,,0,18
2019,1,Chattanooga,236,Southern,24,,,Eastern Illinois,2197,OVC,10,,,0,14
2019,1,Eastern Kentucky,2198,OVC,53,,,Valparaiso,2674,Pioneer,7,,,0,46
2019,1,Stony Brook,2619,CAA,35,,,Bryant,2803,NEC,10,,,0,25
2019,1,Richmond,257,CAA,38,,,Jacksonville,294,Pioneer,19,,,0,19
2019,1,UConn,41,American Athletic,24,,,Wagner,2681,NEC,21,,,0,3
2019,1,Murray State,93,OVC,59,,,Pikeville,95,,20,,,0,39
2019,1,Buffalo,2084,Mid-American,38,,,Robert Morris,2523,NEC,10,,,0,28
2019,1,Bowling Green,189,Mid-American,46,,,Morgan State,2415,MEAC,3,,,0,43
2019,1,Cincinnati,2132,American Athletic,24,1625.0,1629.0,UCLA,26,Pac-12,14,1431.0,1427.0,0,10
2019,1,Western Kentucky,98,Conference USA,28,,,Central Arkansas,2110,Southland,35,,,0,-7
2019,1,Southeast Missouri State,2546,OVC,44,,,Southern Illinois,79,MVFC,26,,,0,18
2019,1,UT Martin,2630,OVC,42,,,Northwestern State,2466,Southland,20,,,0,22
2019,1,UCF,2116,American Athletic,62,,,Florida A&M,50,MEAC,0,,,0,62
2019,1,Charlotte,2429,Conference USA,49,,,Gardner-Webb,2241,Big South,28,,,0,21
2019,1,Clemson,228,ACC,52,2092.0,2136.0,Georgia Tech,59,ACC,14,1571.0,1527.0,1,38
2019,1,Lamar,2320,Southland,65,,,Bethel University Tennessee,2064,,16,,,0,49
2019,1,North Alabama,2453,Big South,26,,,Western Illinois,2710,MVFC,17,,,0,9
2019,1,Austin Peay,2046,OVC,41,,,North Carolina Central,2428,MEAC,10,,,0,31
2019,1,SE Louisiana,2545,Southland,35,,,Jacksonville State,55,OVC,14,,,0,21
2019,1,UAB,5,Conference USA,24,,,Alabama State,2011,SWAC,19,,,0,5
2019,1,Tulane,2655,American Athletic,42,1451.0,1527.0,Florida International,2229,Conference USA,14,1471.0,1395.0,0,28
2019,1,Texas A&M,245,SEC,41,1739.0,1771.0,Texas State,326,Sun Belt,7,1217.0,1185.0,0,34
2019,1,Central Michigan,2117,Mid-American,38,,,UAlbany,399,CAA,21,,,0,17
2019,1,Northern Arizona,2464,Big Sky,37,,,Missouri State,2623,MVFC,23,,,0,14
2019,1,Minnesota,135,Big Ten,28,,,South Dakota State,2571,MVFC,21,,,0,7
2019,1,Arizona State,9,Pac-12,30,1597.0,1610.0,Kent State,2309,Mid-American,7,1165.0,1152.0,0,23
2019,1,San José State,23,Mountain West,35,,,Northern Colorado,2458,Big Sky,18,,,0,17
2019,1,BYU,252,FBS Independents,12,1553.0,1520.0,Utah,254,Pac-12,30,1657.0,1690.0,0,-18
2019,1,Army,349,FBS Independents,14,1745.0,1727.0,Rice,242,Conference USA,7,1185.0,1203.0,0,7
2019,1,Maine,311,CAA,42,,,Sacred Heart,2529,NEC,14,,,0,28
2019,1,Michigan State,127,Big Ten,28,1615.0,1641.0,Tulsa,202,American Athletic,7,1379.0,1353.0,0,21
2019,1,Rutgers,164,Big Ten,48,1265.0,1334.0,Massachusetts,113,FBS Independents,21,1261.0,1192.0,0,27
2019,1,South Florida,58,American Athletic,0,1423.0,1307.0,Wisconsin,275,Big Ten,49,1676.0,1792.0,0,-49
2019,1,Wake Forest,154,ACC,38,1579.0,1582.0,Utah State,328,Mountain West,35,1731.0,1728.0,0,3
2019,1,Nevada,2440,Mountain West,34,1462.0,1464.0,Purdue,2509,Big Ten,31,1507.0,1505.0,0,3
2019,1,Colorado,38,Pac-12,52,1449.0,1492.0,Colorado State,36,Mountain West,31,1307.0,1264.0,0,21
2019,1,Oregon State,204,Pac-12,36,1207.0,1210.0,Oklahoma State,197,Big 12,52,1637.0,1634.0,0,-16
2019,1,Kansas,2305,Big 12,24,,,Indiana State,282,MVFC,17,,,0,7
2019,1,Kentucky,96,SEC,38,1615.0,1636.0,Toledo,2649,Mid-American,24,1533.0,1512.0,0,14
2019,1,Ohio State,194,Big Ten,45,1847.0,1872.0,Florida Atlantic,2226,Conference USA,21,1520.0,1495.0,0,24
2019,1,Nebraska,158,Big Ten,35,1475.0,1478.0,South Alabama,6,Sun Belt,21,1168.0,1165.0,0,14
2019,1,Memphis,235,American Athletic,15,1622.0,1621.0,Ole Miss,145,SEC,10,1477.0,1478.0,0,5
2019,1,Louisiana,309,Sun Belt,28,1361.0,1378.0,Mississippi State,344,SEC,38,1791.0,1774.0,0,-10
2019,1,Illinois,356,Big Ten,42,1263.0,1376.0,Akron,2006,Mid-American,3,1261.0,1148.0,0,39
2019,1,Ball State,2050,Mid-American,24,1195.0,1204.0,Indiana,84,Big Ten,34,1509.0,1500.0,0,-10
2019,1,Florida State,52,ACC,31,1442.0,1451.0,Boise State,68,Mountain West,36,1703.0,1694.0,0,-5
2019,1,Iowa State,66,Big 12,29,,,Northern Iowa,2460,MVFC,26,,,0,3
2019,1,NC State,152,ACC,34,1612.0,1641.0,East Carolina,151,American Athletic,6,1217.0,1188.0,0,28
2019,1,Maryland,120,Big Ten,79,,,Howard,47,MEAC,0,,,0,79
2019,1,Lehigh,2329,Patriot,13,,,St. Francis (PA),2598,NEC,14,,,0,-1
2019,1,Furman,231,Southern,46,,,Charleston Southern,2127,Big South,13,,,0,33
2019,1,Davidson,2166,Pioneer,27,,,Georgetown,46,Patriot,20,,,0,7
2019,1,West Virginia,277,Big 12,20,1692.0,1690.0,James Madison,256,CAA,13,1477.0,1479.0,0,7
2019,1,Ohio,195,Mid-American,41,,,Rhode Island,227,CAA,20,,,0,21
2019,1,South Dakota,233,MVFC,17,,,Montana,149,Big Sky,31,,,0,-14
2019,1,The Citadel,2643,Southern,21,,,Towson,119,CAA,28,,,0,-7
2019,1,Washington,264,Pac-12,47,,,Eastern Washington,331,Big Sky,14,,,0,33
2019,1,Temple,218,American Athletic,56,,,Bucknell,2083,Patriot,12,,,0,44
2019,1,Merrimack,2771,FCS Independents,45,,,Virginia University Of Lynchburg,2355,,14,,,0,31
2019,1,North Carolina,153,ACC,24,1409.0,1424.0,South Carolina,2579,SEC,20,1532.0,1517.0,0,4
2019,1,Coastal Carolina,324,Sun Belt,23,1256.0,1259.0,Eastern Michigan,2199,Mid-American,30,1466.0,1463.0,0,-7
2019,1,Tennessee,2633,SEC,30,1399.0,1372.0,Georgia State,2247,Sun Belt,38,1265.0,1292.0,0,-8
2019,1,App State,2026,Sun Belt,42,,,East Tennessee State,2193,Southern,7,,,0,35
2019,1,Penn State,213,Big Ten,79,,,Idaho,70,Big Sky,7,,,0,72
2019,1,Navy,2426,American Athletic,45,,,Holy Cross,107,Patriot,7,,,0,38
2019,1,Alabama,333,SEC,42,2005.0,2064.0,Duke,150,ACC,3,1526.0,1467.0,0,39
2019,1,Air Force,2005,Mountain West,48,,,Colgate,2142,Patriot,7,,,0,41
2019,1,North Dakota State,2449,MVFC,57,,,Butler,2086,Pioneer,10,,,0,47
2019,1,Arkansas,8,SEC,20,,,Portland State,2502,Big Sky,13,,,0,7
2019,1,Stanford,24,Pac-12,17,1638.0,1653.0,Northwestern,77,Big Ten,7,1612.0,1597.0,0,10
2019,1,Texas Tech,2641,Big 12,45,,,Montana State,147,Big Sky,10,,,0,35
2019,1,Boston College,103,ACC,35,1591.0,1597.0,Virginia Tech,259,ACC,28,1520.0,1514.0,1,7
2019,1,North Dakota,155,FCS Independents,47,,,Drake,2181,Pioneer,7,,,0,40
2019,1,Cal Poly,13,Big Sky,52,,,San Diego,301,Pioneer,34,,,0,18
2019,1,Fordham,2230,Patriot,23,,,Central Connecticut,2115,NEC,26,,,0,-3
2019,1,Liberty,2335,FBS Independents,0,1311.0,1283.0,Syracuse,183,ACC,24,1629.0,1657.0,0,-24
2019,1,Hampton,2261,Big South,65,,,Elizabeth City State,2207,CIAA,7,,,0,58
2019,1,Kennesaw State,338,Big South,59,,,Point University,3179,,0,,,0,59
2019,1,Troy,2653,Sun Belt,43,,,Campbell,2097,Big South,14,,,0,29
2019,1,UTSA,2636,Conference USA,35,,,Incarnate Word,2916,Southland,7,,,0,28
2019,1,North Carolina A&T,2448,MEAC,24,,,Elon,2210,CAA,21,,,0,3
2019,1,New Mexico,167,Mountain West,39,,,Sam Houston,2534,Southland,31,,,0,8
