season,team,conference,offense,defense
2025,Air Force,Mountain West,"{'plays': 59, 'drives': 9, 'ppa': 0.46049426113846453, 'totalPPA': 27.16916140716941, 'successRate': 0.6440677966101694, 'explosiveness': 0.9876145170102282, 'powerSuccess': 0.75, 'stuffRate': 0.08163265306122448, 'lineYards': 3.9591836734693877, 'lineYardsTotal': 194, 'secondLevelYards': 1.4081632653061225, 'secondLevelYardsTotal': 69, 'openFieldYards': 0.30612244897959184, 'openFieldYardsTotal': 15, 'totalOpportunies': 7, 'pointsPerOpportunity': 6, 'fieldPosition': {'averageStart': 71.9, 'averagePredictedPoints': 1.205}, 'havoc': {'total': 0.034, 'frontSeven': 0.034, 'db': 0}, 'standardDowns': {'rate': 0.8305084745762712, 'ppa': 0.5975873680083699, 'successRate': 0.7346938775510204, 'explosiveness': 0.9948905078211467}, 'passingDowns': {'rate': 0.1694915254237288, 'ppa': -0.21126196252407187, 'successRate': 0.2, 'explosiveness': 0.8566466824136959}, 'rushingPlays': {'rate': 0.8305084745762712, 'ppa': 0.3860508204523377, 'totalPPA': 18.916490202164546, 'successRate': 0.673469387755102, 'explosiveness': 0.7816373125995989}, 'passingPlays': {'rate': 0.1694915254237288, 'ppa': 0.825267120500486, 'totalPPA': 8.25267120500486, 'successRate': 0.5, 'explosiveness': 2.3470640661203817}}","{'plays': 60, 'drives': 10, 'ppa': 0.05628595962462317, 'totalPPA': 3.37715757747739, 'successRate': 0.4, 'explosiveness': 1.1047595709659213, 'powerSuccess': 0.75, 'stuffRate': 0.16666666666666666, 'lineYards': 2.966666666666667, 'lineYardsTotal': 89, 'secondLevelYards': 0.8333333333333334, 'secondLevelYardsTotal': 25, 'openFieldYards': 0.2, 'openFieldYardsTotal': 0, 'totalOpportunies': 3, 'pointsPerOpportunity': 4.333333333333333, 'fieldPosition': {'averageStart': 76.7, 'averagePredictedPoints': -0.834}, 'havoc': {'total': 0.183, 'frontSeven': 0.117, 'db': 0.067}, 'standardDowns': {'rate': 0.7166666666666667, 'ppa': -0.12083712535137722, 'successRate': 0.4186046511627907, 'explosiveness': 0.8208584899986182}, 'passingDowns': {'rate': 0.2833333333333333, 'ppa': 0.5043031745639183, 'totalPPA': 5.704311072011944, 'successRate': 0.35294117647058826, 'explosiveness': 1.95646281386783}, 'rushingPlays': {'rate': 0.5, 'ppa': -0.0775717831511518, 'totalPPA': -2.3271534945345542, 'successRate': 0.3333333333333333, 'explosiveness': 0.6482184494220766}, 'passingPlays': {'rate': 0.5, 'ppa': 0.19014370240039813, 'totalPPA': 5.704311072011944, 'successRate': 0.4666666666666667, 'explosiveness': 1.4308603720686672}}"
2025,Akron,Mid-American,"{'plays': 122, 'drives': 25, 'ppa': -0.2086066848050492, 'totalPPA': -25.450015546216004, 'successRate': 0.28688524590163933, 'explosiveness': 1.021834679772649, 'powerSuccess': 0.4444444444444444, 'stuffRate': 0.2, 'lineYards': 2.3581818181818184, 'lineYardsTotal': 130, 'secondLevelYards': 1.0545454545454545, 'secondLevelYardsTotal': 58, 'openFieldYards': 0.7636363636363637, 'openFieldYardsTotal': 42, 'totalOpportunies': 8, 'pointsPerOpportunity': -0.25, 'fieldPosition': {'averageStart': 73.6, 'averagePredictedPoints': 1.18}, 'havoc': {'total': 0.118, 'frontSeven': 0.044, 'db': 0.074}, 'standardDowns': {'rate': 0.6475409836065574, 'ppa': -0.17388782577738585, 'successRate': 0.3924050632911392, 'explosiveness': 0.9835187071561136}, 'passingDowns': {'rate': 0.3524590163934426, 'ppa': -0.27239249557680284, 'successRate': 0.09302325581395349, 'explosiveness': 1.3187834675507983}, 'rushingPlays': {'rate': 0.45081967213114754, 'ppa': -0.040712649418006806, 'totalPPA': -2.2391957179903743, 'successRate': 0.4, 'explosiveness': 0.828110091115975}, 'passingPlays': {'rate': 0.5327868852459017, 'ppa': -0.2885738760461457, 'totalPPA': -18.75730194299947, 'successRate': 0.18461538461538463, 'explosiveness': 1.4531572803539452}}","{'plays': 133, 'drives': 25, 'ppa': 0.18733242141403766, 'totalPPA': 24.915212048067012, 'successRate': 0.45112781954887216, 'explosiveness': 1.2465702913951984, 'powerSuccess': 0.46153846153846156, 'stuffRate': 0.171875, 'lineYards': 3.278125, 'lineYardsTotal': 210, 'secondLevelYards': 1.125, 'secondLevelYardsTotal': 72, 'openFieldYards': 0.796875, 'openFieldYardsTotal': 0, 'totalOpportunies': 16, 'pointsPerOpportunity': 2.5625, 'fieldPosition': {'averageStart': 68, 'averagePredictedPoints': -1.594}, 'havoc': {'total': 0.169, 'frontSeven': 0.078, 'db': 0.091}, 'standardDowns': {'rate': 0.7593984962406015, 'ppa': 0.05504689669918371, 'successRate': 0.48514851485148514, 'explosiveness': 1.0236220383451464}, 'passingDowns': {'rate': 0.24060150375939848, 'ppa': 0.6048586087952955, 'totalPPA': 25.94917262952326, 'successRate': 0.34375, 'explosiveness': 2.239703418618157}, 'rushingPlays': {'rate': 0.48120300751879697, 'ppa': 0.008706497471400733, 'totalPPA': 0.5572158381696469, 'successRate': 0.4375, 'explosiveness': 0.9334320328155368}, 'passingPlays': {'rate': 0.5037593984962406, 'ppa': 0.3873010840227352, 'totalPPA': 25.94917262952326, 'successRate': 0.47761194029850745, 'explosiveness': 1.5205662676524023}}"
2025,Alabama,SEC,"{'plays': 141, 'drives': 21, 'ppa': 0.4081102897986538, 'totalPPA': 57.543550861610186, 'successRate': 0.475177304964539, 'explosiveness': 1.4222127531372024, 'powerSuccess': 0.7142857142857143, 'stuffRate': 0.09523809523809523, 'lineYards': 3.442857142857143, 'lineYardsTotal': 217, 'secondLevelYards': 0.8888888888888888, 'secondLevelYardsTotal': 56, 'openFieldYards': 1.0634920634920635, 'openFieldYardsTotal': 67, 'totalOpportunies': 16, 'pointsPerOpportunity': 5.1875, 'fieldPosition': {'averageStart': 56.6, 'averagePredictedPoints': 2.362}, 'havoc': {'total': 0.106, 'frontSeven': 0.071, 'db': 0.035}, 'standardDowns': {'rate': 0.7021276595744681, 'ppa': 0.2988788727334068, 'successRate': 0.5353535353535354, 'explosiveness': 1.0324142499492137}, 'passingDowns': {'rate': 0.2978723404255319, 'ppa': 0.6655843443095932, 'successRate': 0.3333333333333333, 'explosiveness': 2.897878515206017}, 'rushingPlays': {'rate': 0.44680851063829785, 'ppa': 0.19415828711947877, 'totalPPA': 12.231972088527163, 'successRate': 0.42857142857142855, 'explosiveness': 0.8974081785858028}, 'passingPlays': {'rate': 0.5531914893617021, 'ppa': 0.5809176765779874, 'totalPPA': 45.31157877308302, 'successRate': 0.5128205128205128, 'explosiveness': 1.7764558409593971}}","{'plays': 114, 'drives': 22, 'ppa': 0.13241953414967778, 'totalPPA': 15.095826893063267, 'successRate': 0.32456140350877194, 'explosiveness': 1.5787797439525224, 'powerSuccess': 0.7142857142857143, 'stuffRate': 0.2222222222222222, 'lineYards': 2.685185185185185, 'lineYardsTotal': 218, 'secondLevelYards': 1.0123456790123457, 'secondLevelYardsTotal': 82, 'openFieldYards': 0.8271604938271605, 'openFieldYardsTotal': 0, 'totalOpportunies': 6, 'pointsPerOpportunity': 5.166666666666667, 'fieldPosition': {'averageStart': 74.9, 'averagePredictedPoints': -1.011}, 'havoc': {'total': 0.193, 'frontSeven': 0.167, 'db': 0.026}, 'standardDowns': {'rate': 0.6052631578947368, 'ppa': 0.05105961303408277, 'successRate': 0.34782608695652173, 'explosiveness': 1.3862852177868314}, 'passingDowns': {'rate': 0.39473684210526316, 'ppa': 0.2571714131935901, 'totalPPA': 10.697027451397739, 'successRate': 0.28888888888888886, 'explosiveness': 1.9341542537968752}, 'rushingPlays': {'rate': 0.7105263157894737, 'ppa': 0.06288169805966587, 'totalPPA': 5.093417542832935, 'successRate': 0.3333333333333333, 'explosiveness': 1.3064426074196565}, 'passingPlays': {'rate': 0.2719298245614035, 'ppa': 0.34506540165799154, 'totalPPA': 10.697027451397739, 'successRate': 0.3225806451612903, 'explosiveness': 2.3140900125912607}}"
2025,App State,Sun Belt,"{'plays': 156, 'drives': 23, 'ppa': 0.1924620414447338, 'totalPPA': 30.024078465378476, 'successRate': 0.5128205128205128, 'explosiveness': 0.9373967034221974, 'powerSuccess': 0.75, 'stuffRate': 0.09722222222222222, 'lineYards': 3.626388888888889, 'lineYardsTotal': 261, 'secondLevelYards': 1.4166666666666667, 'secondLevelYardsTotal': 102, 'openFieldYards': 1.652777777777778, 'openFieldYardsTotal': 119, 'totalOpportunies': 11, 'pointsPerOpportunity': 4.2727272727272725, 'fieldPosition': {'averageStart': 73.2, 'averagePredictedPoints': 1.165}, 'havoc': {'total': 0.109, 'frontSeven': 0.058, 'db': 0.051}, 'standardDowns': {'rate': 0.7115384615384616, 'ppa': 0.1431149089691826, 'successRate': 0.5765765765765766, 'explosiveness': 0.7531497796547495}, 'passingDowns': {'rate': 0.28846153846153844, 'ppa': 0.3141849682177601, 'successRate': 0.35555555555555557, 'explosiveness': 1.674384398491989}, 'rushingPlays': {'rate': 0.46153846153846156, 'ppa': 0.055218617147815764, 'totalPPA': 3.975740434642735, 'successRate': 0.5972222222222222, 'explosiveness': 0.40269499226876143}, 'passingPlays': {'rate': 0.5384615384615384, 'ppa': 0.3100992622706636, 'totalPPA': 26.04833803073574, 'successRate': 0.44047619047619047, 'explosiveness': 1.5588068001680824}}","{'plays': 124, 'drives': 23, 'ppa': 0.00667835933984158, 'totalPPA': 0.828116558140356, 'successRate': 0.3225806451612903, 'explosiveness': 1.3594078468049695, 'powerSuccess': 0.7777777777777778, 'stuffRate': 0.2545454545454545, 'lineYards': 1.6581818181818182, 'lineYardsTotal': 91, 'secondLevelYards': 0.5818181818181818, 'secondLevelYardsTotal': 32, 'openFieldYards': 0.2727272727272727, 'openFieldYardsTotal': 0, 'totalOpportunies': 6, 'pointsPerOpportunity': 4, 'fieldPosition': {'averageStart': 71.3, 'averagePredictedPoints': -1.317}, 'havoc': {'total': 0.315, 'frontSeven': 0.194, 'db': 0.121}, 'standardDowns': {'rate': 0.5725806451612904, 'ppa': -0.15095551847233565, 'successRate': 0.38028169014084506, 'explosiveness': 0.935655748507868}, 'passingDowns': {'rate': 0.4274193548387097, 'ppa': 0.21784827112596578, 'totalPPA': 11.977702872081256, 'successRate': 0.24528301886792453, 'explosiveness': 2.2395083586527957}, 'rushingPlays': {'rate': 0.4435483870967742, 'ppa': -0.15838708229054937, 'totalPPA': -8.711289525980217, 'successRate': 0.32727272727272727, 'explosiveness': 0.7292636370872668}, 'passingPlays': {'rate': 0.5483870967741935, 'ppa': 0.1761426892953126, 'totalPPA': 11.977702872081256, 'successRate': 0.3235294117647059, 'explosiveness': 1.8749803820285444}}"
2025,Arizona,Big 12,"{'plays': 110, 'drives': 21, 'ppa': 0.3516343146933443, 'totalPPA': 38.67977461626787, 'successRate': 0.43636363636363634, 'explosiveness': 1.3969656371881731, 'powerSuccess': 0.8, 'stuffRate': 0.18461538461538463, 'lineYards': 3.773846153846154, 'lineYardsTotal': 245, 'secondLevelYards': 1.8153846153846154, 'secondLevelYardsTotal': 118, 'openFieldYards': 1.7230769230769232, 'openFieldYardsTotal': 112, 'totalOpportunies': 12, 'pointsPerOpportunity': 2.8333333333333335, 'fieldPosition': {'averageStart': 60.8, 'averagePredictedPoints': 1.966}, 'havoc': {'total': 0.118, 'frontSeven': 0.091, 'db': 0.027}, 'standardDowns': {'rate': 0.7363636363636363, 'ppa': 0.31920115630990004, 'successRate': 0.49382716049382713, 'explosiveness': 1.203704136663166}, 'passingDowns': {'rate': 0.2636363636363636, 'ppa': 0.44222348121261956, 'successRate': 0.27586206896551724, 'explosiveness': 2.363273139813209}, 'rushingPlays': {'rate': 0.5909090909090909, 'ppa': 0.42852593183228316, 'totalPPA': 27.854185569098405, 'successRate': 0.4307692307692308, 'explosiveness': 1.436256504728454}, 'passingPlays': {'rate': 0.4090909090909091, 'ppa': 0.24056864549265478, 'totalPPA': 10.825589047169466, 'successRate': 0.4444444444444444, 'explosiveness': 1.34195842263178}}","{'plays': 125, 'drives': 21, 'ppa': -0.08034955920350838, 'totalPPA': -10.043694900438547, 'successRate': 0.304, 'explosiveness': 1.1028790578500531, 'powerSuccess': 0.25, 'stuffRate': 0.26666666666666666, 'lineYards': 2.5, 'lineYardsTotal': 113, 'secondLevelYards': 1.222222222222222, 'secondLevelYardsTotal': 55, 'openFieldYards': 0.6222222222222222, 'openFieldYardsTotal': 0, 'totalOpportunies': 6, 'pointsPerOpportunity': 1, 'fieldPosition': {'averageStart': 76.5, 'averagePredictedPoints': -0.836}, 'havoc': {'total': 0.256, 'frontSeven': 0.144, 'db': 0.112}, 'standardDowns': {'rate': 0.648, 'ppa': -0.27240856917478845, 'successRate': 0.345679012345679, 'explosiveness': 0.8111858113129444}, 'passingDowns': {'rate': 0.352, 'ppa': 0.2732136182436209, 'totalPPA': -6.565979277591903, 'successRate': 0.22727272727272727, 'explosiveness': 1.9196201481539577}, 'rushingPlays': {'rate': 0.36, 'ppa': -0.07157398228380751, 'totalPPA': -3.220829202771338, 'successRate': 0.37777777777777777, 'explosiveness': 0.9394558930905119}, 'passingPlays': {'rate': 0.632, 'ppa': -0.08311366174166965, 'totalPPA': -6.565979277591903, 'successRate': 0.26582278481012656, 'explosiveness': 1.2351740007506342}}"
2025,Arizona State,Big 12,"{'plays': 136, 'drives': 26, 'ppa': 0.26192454223622497, 'totalPPA': 35.6217377441266, 'successRate': 0.45588235294117646, 'explosiveness': 1.2896338132727048, 'powerSuccess': 0.5714285714285714, 'stuffRate': 0.17142857142857143, 'lineYards': 3.86, 'lineYardsTotal': 270, 'secondLevelYards': 1.8142857142857143, 'secondLevelYardsTotal': 127, 'openFieldYards': 2.1714285714285713, 'openFieldYardsTotal': 152, 'totalOpportunies': 11, 'pointsPerOpportunity': 4.363636363636363, 'fieldPosition': {'averageStart': 72.9, 'averagePredictedPoints': 1.285}, 'havoc': {'total': 0.169, 'frontSeven': 0.088, 'db': 0.081}, 'standardDowns': {'rate': 0.6617647058823529, 'ppa': 0.27171125691455916, 'successRate': 0.5555555555555556, 'explosiveness': 1.0847880791632183}, 'passingDowns': {'rate': 0.3382352941176471, 'ppa': 0.24277662221339727, 'successRate': 0.2608695652173913, 'explosiveness': 2.143157705395565}, 'rushingPlays': {'rate': 0.5147058823529411, 'ppa': 0.32643696250305154, 'totalPPA': 22.850587375213607, 'successRate': 0.5285714285714286, 'explosiveness': 1.1134651924461554}, 'passingPlays': {'rate': 0.47794117647058826, 'ppa': 0.2152196466329104, 'totalPPA': 13.989277031139176, 'successRate': 0.38461538461538464, 'explosiveness': 1.5503633720959975}}","{'plays': 134, 'drives': 25, 'ppa': 0.06514184737230065, 'totalPPA': 8.729007547888287, 'successRate': 0.3805970149253731, 'explosiveness': 1.3175291732857324, 'powerSuccess': 0.7777777777777778, 'stuffRate': 0.19230769230769232, 'lineYards': 2.3615384615384616, 'lineYardsTotal': 123, 'secondLevelYards': 0.6730769230769231, 'secondLevelYardsTotal': 35, 'openFieldYards': 0.5961538461538461, 'openFieldYardsTotal': 0, 'totalOpportunies': 8, 'pointsPerOpportunity': 2.875, 'fieldPosition': {'averageStart': 67.5, 'averagePredictedPoints': -1.571}, 'havoc': {'total': 0.201, 'frontSeven': 0.104, 'db': 0.097}, 'standardDowns': {'rate': 0.6268656716417911, 'ppa': -0.06396545089152354, 'successRate': 0.44047619047619047, 'explosiveness': 1.001500032874964}, 'passingDowns': {'rate': 0.373134328358209, 'ppa': 0.2820421084555253, 'totalPPA': 13.896368730962362, 'successRate': 0.28, 'explosiveness': 2.1527490443713346}, 'rushingPlays': {'rate': 0.3880597014925373, 'ppa': -0.04351270416629581, 'totalPPA': -2.262660616647382, 'successRate': 0.36538461538461536, 'explosiveness': 0.9526178847586686}, 'passingPlays': {'rate': 0.6044776119402985, 'ppa': 0.17156010778965877, 'totalPPA': 13.896368730962362, 'successRate': 0.3950617283950617, 'explosiveness': 1.5341952508486765}}"
2025,Arkansas,SEC,"{'plays': 133, 'drives': 25, 'ppa': 0.5316900192785426, 'totalPPA': 70.71477256404617, 'successRate': 0.5639097744360902, 'explosiveness': 1.4385281552109803, 'powerSuccess': 1, 'stuffRate': 0.12121212121212122, 'lineYards': 3.7439393939393937, 'lineYardsTotal': 247, 'secondLevelYards': 1.4848484848484849, 'secondLevelYardsTotal': 98, 'openFieldYards': 2.9696969696969697, 'openFieldYardsTotal': 196, 'totalOpportunies': 15, 'pointsPerOpportunity': 6.266666666666667, 'fieldPosition': {'averageStart': 71.4, 'averagePredictedPoints': 1.371}, 'havoc': {'total': 0.113, 'frontSeven': 0.053, 'db': 0.06}, 'standardDowns': {'rate': 0.7443609022556391, 'ppa': 0.5370357876103677, 'successRate': 0.6161616161616161, 'explosiveness': 1.3286053762075027}, 'passingDowns': {'rate': 0.2556390977443609, 'ppa': 0.5161243997241106, 'successRate': 0.4117647058823529, 'explosiveness': 1.917477406583275}, 'rushingPlays': {'rate': 0.49624060150375937, 'ppa': 0.37284454654285526, 'totalPPA': 24.60774007182845, 'successRate': 0.5151515151515151, 'explosiveness': 1.149003782119011}, 'passingPlays': {'rate': 0.49624060150375937, 'ppa': 0.7426020160400668, 'totalPPA': 49.01173305864441, 'successRate': 0.6212121212121212, 'explosiveness': 1.6786215377750524}}","{'plays': 130, 'drives': 23, 'ppa': -0.03416146660680164, 'totalPPA': -4.440990658884213, 'successRate': 0.36153846153846153, 'explosiveness': 1.1163368749812537, 'powerSuccess': 0.5, 'stuffRate': 0.24193548387096775, 'lineYards': 2.5, 'lineYardsTotal': 155, 'secondLevelYards': 1.1451612903225805, 'secondLevelYardsTotal': 71, 'openFieldYards': 0.9193548387096774, 'openFieldYardsTotal': 0, 'totalOpportunies': 7, 'pointsPerOpportunity': 2, 'fieldPosition': {'averageStart': 75.2, 'averagePredictedPoints': -0.989}, 'havoc': {'total': 0.231, 'frontSeven': 0.138, 'db': 0.092}, 'standardDowns': {'rate': 0.676923076923077, 'ppa': -0.14111567766772498, 'successRate': 0.4090909090909091, 'explosiveness': 0.9650864584477099}, 'passingDowns': {'rate': 0.3230769230769231, 'ppa': 0.18993307085418062, 'totalPPA': -0.5962391728300479, 'successRate': 0.2619047619047619, 'explosiveness': 1.6113382381819423}, 'rushingPlays': {'rate': 0.47692307692307695, 'ppa': -0.06201212074280912, 'totalPPA': -3.8447514860541654, 'successRate': 0.43548387096774194, 'explosiveness': 0.8756252162438638}, 'passingPlays': {'rate': 0.5230769230769231, 'ppa': -0.008768223129853646, 'totalPPA': -0.5962391728300479, 'successRate': 0.29411764705882354, 'explosiveness': 1.44129761427673}}"
2025,Arkansas State,Sun Belt,"{'plays': 147, 'drives': 22, 'ppa': 0.11344387491863962, 'totalPPA': 16.676249613040024, 'successRate': 0.4217687074829932, 'explosiveness': 1.3289249650494503, 'powerSuccess': 0.4666666666666667, 'stuffRate': 0.25675675675675674, 'lineYards': 2.3635135135135137, 'lineYardsTotal': 175, 'secondLevelYards': 1, 'secondLevelYardsTotal': 74, 'openFieldYards': 1.0810810810810811, 'openFieldYardsTotal': 80, 'totalOpportunies': 11, 'pointsPerOpportunity': 3.8181818181818183, 'fieldPosition': {'averageStart': 68.4, 'averagePredictedPoints': 1.482}, 'havoc': {'total': 0.184, 'frontSeven': 0.122, 'db': 0.061}, 'standardDowns': {'rate': 0.7551020408163265, 'ppa': -0.06746936071771223, 'successRate': 0.43243243243243246, 'explosiveness': 1.0953988281213656}, 'passingDowns': {'rate': 0.24489795918367346, 'ppa': 0.6712596847973912, 'successRate': 0.3888888888888889, 'explosiveness': 2.1295860059457405}, 'rushingPlays': {'rate': 0.5034013605442177, 'ppa': -0.12894146747732796, 'totalPPA': -9.54166859332227, 'successRate': 0.40540540540540543, 'explosiveness': 0.9752733439012127}, 'passingPlays': {'rate': 0.4965986394557823, 'ppa': 0.35914956447071633, 'totalPPA': 26.217918206362295, 'successRate': 0.4383561643835616, 'explosiveness': 1.6604733598759231}}","{'plays': 129, 'drives': 24, 'ppa': 0.41744144598304694, 'totalPPA': 53.84994653181305, 'successRate': 0.5193798449612403, 'explosiveness': 1.422325124373564, 'powerSuccess': 1, 'stuffRate': 0.11475409836065574, 'lineYards': 3.5344262295081967, 'lineYardsTotal': 216, 'secondLevelYards': 1.2786885245901638, 'secondLevelYardsTotal': 78, 'openFieldYards': 2.4754098360655736, 'openFieldYardsTotal': 0, 'totalOpportunies': 11, 'pointsPerOpportunity': 5.363636363636363, 'fieldPosition': {'averageStart': 76.5, 'averagePredictedPoints': -0.984}, 'havoc': {'total': 0.116, 'frontSeven': 0.062, 'db': 0.054}, 'standardDowns': {'rate': 0.751937984496124, 'ppa': 0.3979854629887397, 'successRate': 0.5773195876288659, 'explosiveness': 1.296870243346967}, 'passingDowns': {'rate': 0.24806201550387597, 'ppa': 0.47641739443454073, 'totalPPA': 34.9252931460015, 'successRate': 0.34375, 'explosiveness': 2.0610045186907855}, 'rushingPlays': {'rate': 0.4728682170542636, 'ppa': 0.3578582615121024, 'totalPPA': 21.82935395223825, 'successRate': 0.4918032786885246, 'explosiveness': 1.2269362907449812}, 'passingPlays': {'rate': 0.5193798449612403, 'ppa': 0.5212730320298731, 'totalPPA': 34.9252931460015, 'successRate': 0.5522388059701493, 'explosiveness': 1.580748502991334}}"
2025,Army,American Athletic,"{'plays': 158, 'drives': 22, 'ppa': 0.12943662338901385, 'totalPPA': 20.450986495464186, 'successRate': 0.3987341772151899, 'explosiveness': 1.1773893540843408, 'powerSuccess': 0.8, 'stuffRate': 0.1590909090909091, 'lineYards': 2.537121212121212, 'lineYardsTotal': 335, 'secondLevelYards': 0.7575757575757576, 'secondLevelYardsTotal': 100, 'openFieldYards': 0.6212121212121212, 'openFieldYardsTotal': 82, 'totalOpportunies': 11, 'pointsPerOpportunity': 3.7272727272727275, 'fieldPosition': {'averageStart': 69.2, 'averagePredictedPoints': 1.46}, 'havoc': {'total': 0.12, 'frontSeven': 0.095, 'db': 0.025}, 'standardDowns': {'rate': 0.689873417721519, 'ppa': 0.025675618900973092, 'successRate': 0.44036697247706424, 'explosiveness': 0.9421785272037054}, 'passingDowns': {'rate': 0.310126582278481, 'ppa': 0.3602519190869004, 'successRate': 0.30612244897959184, 'explosiveness': 1.9300640001023737}, 'rushingPlays': {'rate': 0.8354430379746836, 'ppa': 0.028277467996556505, 'totalPPA': 3.7326257755454586, 'successRate': 0.3939393939393939, 'explosiveness': 0.903732523586381}, 'passingPlays': {'rate': 0.16455696202531644, 'ppa': 0.643013873843028, 'totalPPA': 16.718360719918728, 'successRate': 0.4230769230769231, 'explosiveness': 2.471039825529241}}","{'plays': 104, 'drives': 20, 'ppa': 0.1804692645917498, 'totalPPA': 18.76880351754198, 'successRate': 0.3557692307692308, 'explosiveness': 1.38855297655389, 'powerSuccess': 0.75, 'stuffRate': 0.27450980392156865, 'lineYards': 2.5254901960784313, 'lineYardsTotal': 129, 'secondLevelYards': 1.2745098039215685, 'secondLevelYardsTotal': 65, 'openFieldYards': 1.3725490196078431, 'openFieldYardsTotal': 0, 'totalOpportunies': 8, 'pointsPerOpportunity': 4.625, 'fieldPosition': {'averageStart': 69.7, 'averagePredictedPoints': -1.419}, 'havoc': {'total': 0.202, 'frontSeven': 0.106, 'db': 0.096}, 'standardDowns': {'rate': 0.6153846153846154, 'ppa': 0.06462232440395374, 'successRate': 0.40625, 'explosiveness': 0.9801588421954707}, 'passingDowns': {'rate': 0.38461538461538464, 'ppa': 0.3658243688922235, 'totalPPA': 14.742651682710267, 'successRate': 0.275, 'explosiveness': 2.3538482032192447}, 'rushingPlays': {'rate': 0.49038461538461536, 'ppa': 0.0789441536241512, 'totalPPA': 4.026151834831711, 'successRate': 0.3137254901960784, 'explosiveness': 1.182393660960268}, 'passingPlays': {'rate': 0.5096153846153846, 'ppa': 0.2781632392964202, 'totalPPA': 14.742651682710267, 'successRate': 0.39622641509433965, 'explosiveness': 1.5456267408156972}}"
2025,Auburn,SEC,"{'plays': 136, 'drives': 22, 'ppa': 0.35611472982699455, 'totalPPA': 48.431603256471256, 'successRate': 0.5661764705882353, 'explosiveness': 1.0609909213761912, 'powerSuccess': 0.9333333333333333, 'stuffRate': 0.1566265060240964, 'lineYards': 3.2710843373493974, 'lineYardsTotal': 272, 'secondLevelYards': 1.3975903614457832, 'secondLevelYardsTotal': 116, 'openFieldYards': 2.1686746987951806, 'openFieldYardsTotal': 180, 'totalOpportunies': 11, 'pointsPerOpportunity': 5.363636363636363, 'fieldPosition': {'averageStart': 72, 'averagePredictedPoints': 1.292}, 'havoc': {'total': 0.147, 'frontSeven': 0.11, 'db': 0.037}, 'standardDowns': {'rate': 0.8014705882352942, 'ppa': 0.3726778412304535, 'successRate': 0.6238532110091743, 'explosiveness': 0.9908306313428095}, 'passingDowns': {'rate': 0.19852941176470587, 'ppa': 0.28924883564266024, 'successRate': 0.3333333333333333, 'explosiveness': 1.591090890517298}, 'rushingPlays': {'rate': 0.6102941176470589, 'ppa': 0.3174102175052149, 'totalPPA': 26.34504805293284, 'successRate': 0.5421686746987951, 'explosiveness': 0.9952997981484046}, 'passingPlays': {'rate': 0.3897058823529412, 'ppa': 0.4167274566705362, 'totalPPA': 22.086555203538417, 'successRate': 0.6037735849056604, 'explosiveness': 1.1533690634152662}}","{'plays': 120, 'drives': 22, 'ppa': 0.09353339114955382, 'totalPPA': 11.22400693794646, 'successRate': 0.275, 'explosiveness': 1.799369842838881, 'powerSuccess': 1, 'stuffRate': 0.3404255319148936, 'lineYards': 1.2319148936170212, 'lineYardsTotal': 58, 'secondLevelYards': 0.46808510638297873, 'secondLevelYardsTotal': 22, 'openFieldYards': 0.5957446808510638, 'openFieldYardsTotal': 0, 'totalOpportunies': 8, 'pointsPerOpportunity': 3.375, 'fieldPosition': {'averageStart': 72.4, 'averagePredictedPoints': -1.152}, 'havoc': {'total': 0.2, 'frontSeven': 0.175, 'db': 0.025}, 'standardDowns': {'rate': 0.575, 'ppa': -0.15447155343498817, 'successRate': 0.2898550724637681, 'explosiveness': 1.3105562759098275}, 'passingDowns': {'rate': 0.425, 'ppa': 0.42906949264628713, 'totalPPA': 20.8595747234047, 'successRate': 0.2549019607843137, 'explosiveness': 2.5513907150374244}, 'rushingPlays': {'rate': 0.39166666666666666, 'ppa': -0.20501208054166473, 'totalPPA': -9.635567785458242, 'successRate': 0.1702127659574468, 'explosiveness': 1.1897074256867515}, 'passingPlays': {'rate': 0.6083333333333333, 'ppa': 0.28574759895074936, 'totalPPA': 20.8595747234047, 'successRate': 0.3424657534246575, 'explosiveness': 1.9944618163275623}}"
